#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-06 06:10:01;2021-02-06 06:11:01;Local contamination;107.10173770491804
2021-02-06 06:12:01;2021-02-06 06:17:01;Local contamination;106.8450830564784
2021-02-06 06:18:39;2021-02-06 06:21:20;Missing due to calibration or zero/span check;nan
2021-02-06 06:23:39;2021-02-06 06:26:01;Missing due to calibration or zero/span check;nan
2021-02-06 06:28:39;2021-02-06 06:30:41;Missing due to calibration or zero/span check;nan
2021-02-06 06:33:39;2021-02-06 06:36:18;Missing due to calibration or zero/span check;nan
2021-02-06 06:38:39;2021-02-06 06:44:44;Missing due to calibration or zero/span check;nan
2021-02-06 06:48:01;2021-02-06 06:49:01;Local contamination;103.98103278688524
2021-02-06 06:53:39;2021-02-06 06:56:41;Missing due to calibration or zero/span check;nan
2021-02-06 06:58:39;2021-02-06 07:01:03;Missing due to calibration or zero/span check;nan
2021-02-06 07:02:57;2021-02-06 07:02:57;Missing due to calibration or zero/span check;125.344
2021-02-06 07:03:39;2021-02-06 07:05:49;Missing due to calibration or zero/span check;nan
2021-02-06 07:08:39;2021-02-06 07:11:57;Missing due to calibration or zero/span check;nan
2021-02-06 07:13:39;2021-02-06 07:19:19;Missing due to calibration or zero/span check;nan
2021-02-06 07:28:39;2021-02-06 07:30:45;Missing due to calibration or zero/span check;nan
2021-02-06 07:31:01;2021-02-06 07:35:01;Local contamination;nan
2021-02-06 07:36:01;2021-02-06 07:38:01;Local contamination;371.5849669421488
2021-02-06 07:38:39;2021-02-06 07:41:28;Missing due to calibration or zero/span check;nan
2021-02-06 07:43:01;2021-02-06 07:45:54;Local contamination;nan
2021-02-06 07:47:01;2021-02-06 07:48:01;Local contamination;277.99618032786884
2021-02-06 07:48:39;2021-02-06 07:54:42;Missing due to calibration or zero/span check;nan
2021-02-06 08:00:00;2021-02-06 08:00:01;Erreur inconnue;nan
2021-02-06 08:03:39;2021-02-06 08:06:18;Missing due to calibration or zero/span check;nan
2021-02-06 08:08:39;2021-02-06 08:11:19;Missing due to calibration or zero/span check;nan
2021-02-06 08:13:39;2021-02-06 08:15:58;Missing due to calibration or zero/span check;nan
2021-02-06 08:16:59;2021-02-06 08:16:59;Missing due to calibration or zero/span check;351.081
2021-02-06 08:18:39;2021-02-06 08:20:33;Missing due to calibration or zero/span check;nan
2021-02-06 08:23:21;2021-02-06 08:23:21;Missing due to calibration or zero/span check;201.407
2021-02-06 08:23:24;2021-02-06 08:23:24;Missing due to calibration or zero/span check;402.396
2021-02-06 08:23:39;2021-02-06 08:30:01;Missing due to calibration or zero/span check;nan
2021-02-06 08:35:01;2021-02-06 08:37:01;Local contamination;150.90778512396696
2021-02-06 08:38:39;2021-02-06 08:41:54;Missing due to calibration or zero/span check;nan
2021-02-06 08:42:01;2021-02-06 08:43:01;Local contamination;240.74414754098362
2021-02-06 08:43:39;2021-02-06 08:45:02;Missing due to calibration or zero/span check;nan
2021-02-06 08:45:32;2021-02-06 08:45:32;Missing due to calibration or zero/span check;400.991
2021-02-06 08:45:48;2021-02-06 08:45:48;Missing due to calibration or zero/span check;398.58
2021-02-06 08:48:39;2021-02-06 08:50:25;Missing due to calibration or zero/span check;nan
2021-02-06 08:51:37;2021-02-06 08:51:37;Missing due to calibration or zero/span check;409.922
2021-02-06 08:53:01;2021-02-06 08:53:01;Missing due to calibration or zero/span check;409.504
2021-02-06 08:53:39;2021-02-06 08:56:02;Missing due to calibration or zero/span check;nan
2021-02-06 08:58:11;2021-02-06 08:58:12;Missing due to calibration or zero/span check;662.9135
2021-02-06 08:58:25;2021-02-06 08:58:26;Missing due to calibration or zero/span check;611.6775
2021-02-06 08:58:32;2021-02-06 08:58:32;Missing due to calibration or zero/span check;568.382
2021-02-06 08:58:39;2021-02-06 09:04:30;Missing due to calibration or zero/span check;nan
2021-02-06 09:13:39;2021-02-06 09:16:25;Missing due to calibration or zero/span check;nan
2021-02-06 09:18:39;2021-02-06 09:19:59;Missing due to calibration or zero/span check;nan
2021-02-06 09:23:39;2021-02-06 09:25:17;Missing due to calibration or zero/span check;nan
2021-02-06 09:26:02;2021-02-06 09:26:02;Missing due to calibration or zero/span check;440.179
2021-02-06 09:28:39;2021-02-06 09:30:36;Missing due to calibration or zero/span check;nan
2021-02-06 09:31:02;2021-02-06 09:31:02;Missing due to calibration or zero/span check;459.954
2021-02-06 09:32:02;2021-02-06 09:32:02;Missing due to calibration or zero/span check;470.844
2021-02-06 09:33:39;2021-02-06 09:39:40;Missing due to calibration or zero/span check;nan
2021-02-06 09:48:39;2021-02-06 09:50:30;Missing due to calibration or zero/span check;nan
2021-02-06 09:53:39;2021-02-06 09:55:40;Missing due to calibration or zero/span check;nan
2021-02-06 09:58:23;2021-02-06 09:58:23;Missing due to calibration or zero/span check;366.858
2021-02-06 09:58:39;2021-02-06 10:00:40;Missing due to calibration or zero/span check;nan
2021-02-06 10:02:03;2021-02-06 10:02:03;Missing due to calibration or zero/span check;480.671
2021-02-06 10:03:39;2021-02-06 10:06:22;Missing due to calibration or zero/span check;nan
2021-02-06 10:08:39;2021-02-06 10:14:37;Missing due to calibration or zero/span check;nan
2021-02-06 10:23:39;2021-02-06 10:26:56;Missing due to calibration or zero/span check;nan
2021-02-06 10:28:39;2021-02-06 10:30:08;Missing due to calibration or zero/span check;nan
2021-02-06 10:33:39;2021-02-06 10:36:06;Missing due to calibration or zero/span check;nan
2021-02-06 10:38:39;2021-02-06 10:40:26;Missing due to calibration or zero/span check;nan
2021-02-06 10:42:46;2021-02-06 10:42:46;Missing due to calibration or zero/span check;422.932
2021-02-06 10:43:01;2021-02-06 10:49:24;Local contamination;nan
2021-02-06 10:58:39;2021-02-06 11:00:50;Missing due to calibration or zero/span check;nan
2021-02-06 11:02:01;2021-02-06 11:05:13;Local contamination;nan
2021-02-06 11:08:39;2021-02-06 11:10:26;Missing due to calibration or zero/span check;nan
2021-02-06 11:13:39;2021-02-06 11:16:13;Missing due to calibration or zero/span check;nan
2021-02-06 11:18:13;2021-02-06 11:18:13;Missing due to calibration or zero/span check;394.971
2021-02-06 11:18:39;2021-02-06 11:24:01;Missing due to calibration or zero/span check;nan
2021-02-06 11:28:01;2021-02-06 11:32:01;Local contamination;160.39444398340248
2021-02-06 11:33:01;2021-02-06 11:36:28;Local contamination;nan
2021-02-06 11:38:39;2021-02-06 11:40:11;Missing due to calibration or zero/span check;nan
2021-02-06 11:43:39;2021-02-06 11:46:25;Missing due to calibration or zero/span check;nan
2021-02-06 11:48:39;2021-02-06 11:50:36;Missing due to calibration or zero/span check;nan
2021-02-06 11:53:39;2021-02-06 11:59:34;Missing due to calibration or zero/span check;nan
2021-02-06 12:00:00;2021-02-06 12:00:01;Erreur inconnue;nan
2021-02-06 12:08:39;2021-02-06 12:11:34;Missing due to calibration or zero/span check;nan
2021-02-06 12:13:39;2021-02-06 12:15:56;Missing due to calibration or zero/span check;nan
2021-02-06 12:18:39;2021-02-06 12:20:54;Missing due to calibration or zero/span check;nan
2021-02-06 12:23:39;2021-02-06 12:26:51;Missing due to calibration or zero/span check;nan
2021-02-06 12:28:39;2021-02-06 12:34:31;Missing due to calibration or zero/span check;nan
2021-02-06 12:43:39;2021-02-06 12:46:18;Missing due to calibration or zero/span check;nan
2021-02-06 12:48:39;2021-02-06 12:51:03;Missing due to calibration or zero/span check;nan
2021-02-06 12:53:39;2021-02-06 12:56:27;Missing due to calibration or zero/span check;nan
2021-02-06 12:58:39;2021-02-06 13:01:44;Missing due to calibration or zero/span check;nan
2021-02-06 13:03:39;2021-02-06 13:10:15;Missing due to calibration or zero/span check;nan
2021-02-06 13:12:01;2021-02-06 13:14:01;Local contamination;146.59429752066114
2021-02-06 13:18:39;2021-02-06 13:20:59;Missing due to calibration or zero/span check;nan
2021-02-06 13:23:39;2021-02-06 13:26:03;Missing due to calibration or zero/span check;nan
2021-02-06 13:28:39;2021-02-06 13:32:01;Missing due to calibration or zero/span check;nan
2021-02-06 13:33:39;2021-02-06 13:36:34;Missing due to calibration or zero/span check;nan
2021-02-06 13:38:39;2021-02-06 13:44:10;Missing due to calibration or zero/span check;nan
2021-02-06 13:50:01;2021-02-06 13:52:01;Local contamination;141.902
2021-02-06 13:53:39;2021-02-06 13:56:10;Missing due to calibration or zero/span check;nan
2021-02-06 13:57:01;2021-02-06 13:58:01;Local contamination;169.29778688524593
2021-02-06 13:58:39;2021-02-06 14:00:49;Missing due to calibration or zero/span check;nan
2021-02-06 14:03:39;2021-02-06 14:06:34;Missing due to calibration or zero/span check;nan
2021-02-06 14:08:01;2021-02-06 14:11:42;Local contamination;nan
2021-02-06 14:12:56;2021-02-06 14:12:56;Missing due to calibration or zero/span check;162.907
2021-02-06 14:13:01;2021-02-06 14:23:01;Local contamination;nan
