datetime,pollution_flag,ccn_flag,ccn_sursaturation,ccn_conc
2023-02-01 08:11:50,0.0,0.0,0.1,117.642
2023-02-01 08:11:51,0.0,0.0,0.1,81.115
2023-02-01 08:11:52,0.0,0.0,0.1,138.463
2023-02-01 08:11:53,0.0,0.0,0.1,156.689
2023-02-01 08:11:54,0.0,0.0,0.1,144.145
2023-02-01 08:11:55,0.0,0.0,0.1,128.018
2023-02-01 08:11:56,0.0,0.0,0.1,121.69
2023-02-01 08:11:57,0.0,0.0,0.1,131.167
2023-02-01 08:11:58,0.0,0.0,0.1,138.783
2023-02-01 08:11:59,0.0,0.0,0.1,129.874
2023-02-01 08:12:00,0.0,0.0,0.1,122.878
2023-02-01 08:12:01,0.0,0.0,0.1,107.177
2023-02-01 08:12:02,0.0,0.0,0.1,128.099
2023-02-01 08:12:03,0.0,0.0,0.1,117.053
2023-02-01 08:12:04,0.0,0.0,0.1,100.519
2023-02-01 08:12:05,0.0,0.0,0.1,85.415
2023-02-01 08:12:06,0.0,0.0,0.1,86.905
2023-02-01 08:12:07,0.0,0.0,0.1,76.861
2023-02-01 08:12:08,0.0,0.0,0.1,87.135
2023-02-01 08:12:09,0.0,0.0,0.1,123.276
2023-02-01 08:12:10,0.0,0.0,0.1,117.545
2023-02-01 08:12:11,0.0,0.0,0.1,150.885
2023-02-01 08:12:12,0.0,0.0,0.1,154.184
2023-02-01 08:12:13,0.0,0.0,0.1,149.306
2023-02-01 08:12:14,0.0,0.0,0.1,152.675
2023-02-01 08:12:15,0.0,0.0,0.1,116.63
2023-02-01 08:12:16,0.0,0.0,0.1,102.159
2023-02-01 08:12:17,0.0,0.0,0.1,100.718
2023-02-01 08:12:18,0.0,0.0,0.1,97.833
2023-02-01 08:12:19,0.0,0.0,0.1,101.755
2023-02-01 08:12:20,0.0,0.0,0.1,133.604
2023-02-01 08:12:21,0.0,0.0,0.1,161.018
2023-02-01 08:12:22,0.0,0.0,0.1,130.184
2023-02-01 08:12:23,0.0,0.0,0.1,111.974
2023-02-01 08:12:24,0.0,0.0,0.1,103.559
2023-02-01 08:12:25,0.0,0.0,0.1,79.172
2023-02-01 08:12:26,0.0,0.0,0.1,75.069
2023-02-01 08:12:27,0.0,0.0,0.1,60.766
2023-02-01 08:12:28,0.0,0.0,0.1,117.2
2023-02-01 08:12:29,0.0,0.0,0.1,167.519
2023-02-01 08:12:30,0.0,0.0,0.1,187.73
2023-02-01 08:12:31,0.0,0.0,0.1,209.05
2023-02-01 08:12:32,0.0,0.0,0.1,193.761
2023-02-01 08:12:33,0.0,0.0,0.1,147.864
2023-02-01 08:12:34,0.0,0.0,0.1,170.212
2023-02-01 08:12:35,0.0,0.0,0.1,116.162
2023-02-01 08:12:36,0.0,0.0,0.1,106.059
2023-02-01 08:12:37,0.0,0.0,0.1,103.346
2023-02-01 08:12:38,0.0,0.0,0.1,96.967
2023-02-01 08:12:39,0.0,0.0,0.1,110.254
2023-02-01 08:12:40,0.0,0.0,0.1,131.911
2023-02-01 08:12:41,0.0,0.0,0.1,134.846
2023-02-01 08:12:42,0.0,0.0,0.1,131.938
2023-02-01 08:12:43,0.0,0.0,0.1,144.271
2023-02-01 08:12:44,0.0,0.0,0.1,104.88
2023-02-01 08:12:45,0.0,0.0,0.1,102.318
2023-02-01 08:12:46,0.0,0.0,0.1,76.836
2023-02-01 08:12:47,0.0,0.0,0.1,88.685
2023-02-01 08:12:48,0.0,0.0,0.1,92.502
2023-02-01 08:12:49,0.0,0.0,0.1,83.07
2023-02-01 08:12:50,0.0,0.0,0.1,121.477
2023-02-01 08:12:51,0.0,0.0,0.1,154.445
2023-02-01 08:12:52,0.0,0.0,0.1,156.383
2023-02-01 08:12:53,0.0,0.0,0.1,202.081
2023-02-01 08:12:54,0.0,0.0,0.1,163.817
2023-02-01 08:12:55,0.0,0.0,0.1,150.275
2023-02-01 08:12:56,0.0,0.0,0.1,134.945
2023-02-01 08:12:57,0.0,0.0,0.1,133.544
2023-02-01 08:12:58,0.0,0.0,0.1,114.765
2023-02-01 08:12:59,0.0,0.0,0.1,70.896
2023-02-01 08:13:00,0.0,0.0,0.1,73.869
2023-02-01 08:13:01,0.0,0.0,0.1,84.246
2023-02-01 08:13:02,0.0,0.0,0.1,59.138
2023-02-01 08:13:03,0.0,0.0,0.1,62.572
2023-02-01 08:13:04,0.0,0.0,0.1,104.41
2023-02-01 08:13:05,0.0,0.0,0.1,114.287
2023-02-01 08:13:06,0.0,0.0,0.1,146.3
2023-02-01 08:13:07,0.0,0.0,0.1,174.492
2023-02-01 08:13:08,0.0,0.0,0.1,167.988
2023-02-01 08:13:09,0.0,0.0,0.1,185.355
2023-02-01 08:13:10,0.0,0.0,0.1,157.445
2023-02-01 08:13:11,0.0,0.0,0.1,139.624
2023-02-01 08:13:12,0.0,0.0,0.1,122.125
2023-02-01 08:13:13,0.0,0.0,0.1,114.167
2023-02-01 08:13:14,0.0,0.0,0.1,91.241
2023-02-01 08:13:15,0.0,0.0,0.1,107.165
2023-02-01 08:13:16,0.0,0.0,0.1,99.491
2023-02-01 08:13:17,0.0,0.0,0.1,127.544
2023-02-01 08:13:18,0.0,0.0,0.1,152.487
2023-02-01 08:13:19,0.0,0.0,0.1,164.488
2023-02-01 08:13:20,0.0,0.0,0.1,126.559
2023-02-01 08:13:21,0.0,0.0,0.1,152.197
2023-02-01 08:13:22,0.0,0.0,0.1,120.614
2023-02-01 08:13:23,0.0,0.0,0.1,89.083
2023-02-01 08:13:24,0.0,0.0,0.1,120.95
2023-02-01 08:13:25,0.0,0.0,0.1,79.026
2023-02-01 08:13:26,0.0,0.0,0.1,121.488
2023-02-01 08:13:27,0.0,0.0,0.1,109.183
2023-02-01 08:13:28,0.0,0.0,0.1,110.785
2023-02-01 08:13:29,0.0,0.0,0.1,126.48
2023-02-01 08:13:30,0.0,0.0,0.1,165.672
2023-02-01 08:13:31,0.0,0.0,0.1,165.923
2023-02-01 08:13:32,0.0,0.0,0.1,159.634
2023-02-01 08:13:33,0.0,0.0,0.1,135.677
2023-02-01 08:13:34,0.0,0.0,0.1,102.492
2023-02-01 08:13:35,0.0,0.0,0.1,91.443
2023-02-01 08:13:36,0.0,0.0,0.1,98.284
2023-02-01 08:13:37,0.0,0.0,0.1,66.594
2023-02-01 08:13:38,0.0,0.0,0.1,105.811
2023-02-01 08:13:39,0.0,0.0,0.1,88.797
2023-02-01 08:13:40,0.0,0.0,0.1,110.639
2023-02-01 07:40:17,0.0,0.0,0.1,215.77
2023-02-01 07:40:18,0.0,0.0,0.1,233.704
2023-02-01 07:40:19,0.0,0.0,0.1,237.566
2023-02-01 07:40:20,0.0,0.0,0.1,201.903
2023-02-01 07:40:21,0.0,0.0,0.1,209.566
2023-02-01 07:40:22,0.0,0.0,0.1,107.317
2023-02-01 07:40:23,0.0,0.0,0.1,135.705
2023-02-01 07:40:24,0.0,0.0,0.1,105.288
2023-02-01 07:40:25,0.0,0.0,0.1,122.118
2023-02-01 07:40:26,0.0,0.0,0.1,134.941
2023-02-01 07:40:27,0.0,0.0,0.1,117.25
2023-02-01 07:40:28,0.0,0.0,0.1,128.586
2023-02-01 07:40:29,0.0,0.0,0.1,136.013
2023-02-01 07:40:30,0.0,0.0,0.1,160.091
2023-02-01 07:40:31,0.0,0.0,0.1,162.482
2023-02-01 07:40:32,0.0,0.0,0.1,198.601
2023-02-01 07:40:33,0.0,0.0,0.1,140.583
2023-02-01 07:40:34,0.0,0.0,0.1,171.482
2023-02-01 07:40:35,0.0,0.0,0.1,148.306
