ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,126.276,2021-02-05 05:44:07,0.0
0.2,0.0,140.289,2021-02-05 05:44:08,0.0
0.2,0.0,137.149,2021-02-05 05:44:09,0.0
0.2,0.0,155.738,2021-02-05 05:44:10,0.0
0.2,0.0,146.647,2021-02-05 05:44:11,0.0
0.2,0.0,120.009,2021-02-05 05:44:12,0.0
0.2,0.0,126.438,2021-02-05 05:44:13,0.0
0.2,0.0,145.056,2021-02-05 05:44:14,0.0
0.2,0.0,129.215,2021-02-05 05:44:15,0.0
0.2,0.0,144.757,2021-02-05 05:44:16,0.0
0.2,0.0,122.892,2021-02-05 05:44:17,0.0
0.2,0.0,126.992,2021-02-05 05:44:18,0.0
0.2,0.0,144.689,2021-02-05 05:44:19,0.0
0.2,0.0,139.56,2021-02-05 05:44:20,0.0
0.2,0.0,171.951,2021-02-05 05:44:21,0.0
0.2,0.0,129.992,2021-02-05 05:44:22,0.0
0.2,0.0,144.117,2021-02-05 05:44:23,0.0
0.2,0.0,113.694,2021-02-05 05:44:24,0.0
0.2,0.0,100.739,2021-02-05 05:44:25,0.0
0.2,0.0,128.958,2021-02-05 05:44:26,0.0
0.2,0.0,131.867,2021-02-05 05:44:27,0.0
0.2,0.0,111.153,2021-02-05 05:44:28,0.0
0.2,0.0,110.059,2021-02-05 05:44:29,0.0
0.2,0.0,138.611,2021-02-05 05:44:30,0.0
0.2,0.0,137.644,2021-02-05 05:44:31,0.0
0.2,0.0,142.819,2021-02-05 05:44:32,0.0
0.2,0.0,135.403,2021-02-05 05:44:33,0.0
0.2,0.0,149.747,2021-02-05 05:44:34,0.0
0.2,0.0,121.06,2021-02-05 05:44:35,0.0
0.2,0.0,123.922,2021-02-05 05:44:36,0.0
0.2,0.0,115.995,2021-02-05 05:44:37,0.0
0.2,0.0,127.697,2021-02-05 05:44:38,0.0
0.2,0.0,141.594,2021-02-05 05:44:39,0.0
0.2,0.0,152.881,2021-02-05 05:44:40,0.0
0.2,0.0,139.614,2021-02-05 05:44:41,0.0
0.2,0.0,130.01,2021-02-05 05:44:42,0.0
0.2,0.0,123.699,2021-02-05 05:44:43,0.0
0.2,0.0,142.145,2021-02-05 05:44:44,0.0
0.2,0.0,109.771,2021-02-05 05:44:45,0.0
0.2,0.0,147.887,2021-02-05 05:44:46,0.0
0.2,0.0,123.45,2021-02-05 05:44:47,0.0
0.2,0.0,123.667,2021-02-05 05:44:48,0.0
0.2,0.0,138.43,2021-02-05 05:44:49,0.0
0.2,0.0,122.199,2021-02-05 05:44:50,0.0
0.2,0.0,155.009,2021-02-05 05:44:51,0.0
0.2,0.0,143.535,2021-02-05 05:44:52,0.0
