ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
134.839,0.1,2023-02-01 19:55:38,0.0,0.0
134.017,0.1,2023-02-01 19:55:39,0.0,0.0
151.32,0.1,2023-02-01 19:55:40,0.0,0.0
177.051,0.1,2023-02-01 19:55:41,0.0,0.0
257.004,0.1,2023-02-01 19:55:42,0.0,0.0
231.12,0.1,2023-02-01 19:55:43,0.0,0.0
285.963,0.1,2023-02-01 19:55:44,0.0,0.0
225.663,0.1,2023-02-01 19:55:45,0.0,0.0
214.227,0.1,2023-02-01 19:55:46,0.0,0.0
230.125,0.1,2023-02-01 19:55:47,0.0,0.0
193.163,0.1,2023-02-01 19:55:48,0.0,0.0
171.056,0.1,2023-02-01 19:55:49,0.0,0.0
151.217,0.1,2023-02-01 19:55:50,0.0,0.0
146.325,0.1,2023-02-01 19:55:51,0.0,0.0
152.839,0.1,2023-02-01 19:55:52,0.0,0.0
83.917,0.1,2023-02-01 19:55:53,0.0,0.0
97.562,0.1,2023-02-01 19:55:54,0.0,0.0
115.981,0.1,2023-02-01 19:55:55,0.0,0.0
119.913,0.1,2023-02-01 19:55:56,0.0,0.0
135.777,0.1,2023-02-01 19:55:57,0.0,0.0
200.245,0.1,2023-02-01 19:55:58,0.0,0.0
217.991,0.1,2023-02-01 19:55:59,0.0,0.0
253.068,0.1,2023-02-01 19:56:00,0.0,0.0
256.973,0.1,2023-02-01 19:56:01,0.0,0.0
188.158,0.1,2023-02-01 19:56:02,0.0,0.0
175.57,0.1,2023-02-01 19:56:03,0.0,0.0
125.588,0.1,2023-02-01 19:56:04,0.0,0.0
136.151,0.1,2023-02-01 19:56:05,0.0,0.0
94.454,0.1,2023-02-01 19:56:06,0.0,0.0
87.725,0.1,2023-02-01 19:56:07,0.0,0.0
105.772,0.1,2023-02-01 19:56:08,0.0,0.0
204.588,0.1,2023-02-01 19:56:09,0.0,0.0
213.584,0.1,2023-02-01 19:56:10,0.0,0.0
227.343,0.1,2023-02-01 19:56:11,0.0,0.0
249.308,0.1,2023-02-01 19:56:12,0.0,0.0
264.848,0.1,2023-02-01 19:56:13,0.0,0.0
277.546,0.1,2023-02-01 19:56:14,0.0,0.0
255.434,0.1,2023-02-01 19:56:15,0.0,0.0
209.382,0.1,2023-02-01 19:56:16,0.0,0.0
142.543,0.1,2023-02-01 19:56:17,0.0,0.0
85.659,0.1,2023-02-01 19:56:18,0.0,0.0
67.273,0.1,2023-02-01 19:56:19,0.0,0.0
80.623,0.1,2023-02-01 19:56:20,0.0,0.0
87.977,0.1,2023-02-01 19:56:21,0.0,0.0
143.246,0.1,2023-02-01 19:56:22,0.0,0.0
195.174,0.1,2023-02-01 19:56:23,0.0,0.0
205.042,0.1,2023-02-01 19:56:24,0.0,0.0
228.833,0.1,2023-02-01 19:56:25,0.0,0.0
242.686,0.1,2023-02-01 19:56:26,0.0,0.0
248.35,0.1,2023-02-01 19:56:27,0.0,0.0
207.315,0.1,2023-02-01 19:56:28,0.0,0.0
190.469,0.1,2023-02-01 19:56:29,0.0,0.0
143.294,0.1,2023-02-01 19:56:30,0.0,0.0
62.698,0.1,2023-02-01 19:56:31,0.0,0.0
41.037,0.1,2023-02-01 19:56:32,0.0,0.0
90.003,0.1,2023-02-01 19:56:33,0.0,0.0
83.424,0.1,2023-02-01 19:56:34,0.0,0.0
147.722,0.1,2023-02-01 19:56:35,0.0,0.0
179.433,0.1,2023-02-01 19:56:36,0.0,0.0
215.145,0.1,2023-02-01 19:56:37,0.0,0.0
249.785,0.1,2023-02-01 19:56:38,0.0,0.0
260.271,0.1,2023-02-01 19:56:39,0.0,0.0
240.229,0.1,2023-02-01 19:56:40,0.0,0.0
194.941,0.1,2023-02-01 19:56:41,0.0,0.0
236.337,0.1,2023-02-01 19:56:42,0.0,0.0
164.252,0.1,2023-02-01 19:56:43,0.0,0.0
110.709,0.1,2023-02-01 19:56:44,0.0,0.0
68.567,0.1,2023-02-01 19:56:45,0.0,0.0
88.625,0.1,2023-02-01 19:56:46,0.0,0.0
106.624,0.1,2023-02-01 19:56:47,0.0,0.0
183.819,0.1,2023-02-01 19:56:48,0.0,0.0
235.1,0.1,2023-02-01 19:56:49,0.0,0.0
280.572,0.1,2023-02-01 19:56:50,0.0,0.0
290.757,0.1,2023-02-01 19:56:51,0.0,0.0
251.679,0.1,2023-02-01 19:56:52,0.0,0.0
255.149,0.1,2023-02-01 19:56:53,0.0,0.0
216.3,0.1,2023-02-01 19:56:54,0.0,0.0
247.554,0.1,2023-02-01 19:56:55,0.0,0.0
135.712,0.1,2023-02-01 19:56:56,0.0,0.0
78.37,0.1,2023-02-01 19:56:57,0.0,0.0
81.98,0.1,2023-02-01 19:56:58,0.0,0.0
81.985,0.1,2023-02-01 19:56:59,0.0,0.0
99.665,0.1,2023-02-01 19:57:00,0.0,0.0
125.449,0.1,2023-02-01 19:57:01,0.0,0.0
154.771,0.1,2023-02-01 19:57:02,0.0,0.0
200.071,0.1,2023-02-01 19:57:03,0.0,0.0
171.939,0.1,2023-02-01 19:57:04,0.0,0.0
210.166,0.1,2023-02-01 19:57:05,0.0,0.0
220.712,0.1,2023-02-01 19:57:06,0.0,0.0
213.303,0.1,2023-02-01 19:57:07,0.0,0.0
164.334,0.1,2023-02-01 19:57:08,0.0,0.0
157.606,0.1,2023-02-01 19:57:09,0.0,0.0
139.31,0.1,2023-02-01 19:57:10,0.0,0.0
151.298,0.1,2023-02-01 19:57:11,0.0,0.0
203.608,0.1,2023-02-01 19:57:12,0.0,0.0
199.691,0.1,2023-02-01 19:57:13,0.0,0.0
199.13,0.1,2023-02-01 19:57:14,0.0,0.0
215.829,0.1,2023-02-01 19:57:15,0.0,0.0
203.082,0.1,2023-02-01 19:57:16,0.0,0.0
161.924,0.1,2023-02-01 19:57:17,0.0,0.0
167.055,0.1,2023-02-01 19:57:18,0.0,0.0
139.536,0.1,2023-02-01 19:57:19,0.0,0.0
114.635,0.1,2023-02-01 19:57:20,0.0,0.0
80.087,0.1,2023-02-01 19:57:21,0.0,0.0
138.67,0.1,2023-02-01 19:57:22,0.0,0.0
192.224,0.1,2023-02-01 19:57:23,0.0,0.0
170.846,0.1,2023-02-01 19:57:24,0.0,0.0
213.376,0.1,2023-02-01 19:57:25,0.0,0.0
222.594,0.1,2023-02-01 19:57:26,0.0,0.0
224.081,0.1,2023-02-01 19:57:27,0.0,0.0
180.572,0.1,2023-02-01 19:57:28,0.0,0.0
155.664,0.1,2023-02-01 19:57:29,0.0,0.0
123.18,0.1,2023-02-01 19:57:30,0.0,0.0
97.686,0.1,2023-02-01 19:57:31,0.0,0.0
54.965,0.1,2023-02-01 19:57:32,0.0,0.0
63.142,0.1,2023-02-01 19:57:33,0.0,0.0
70.431,0.1,2023-02-01 19:57:34,0.0,0.0
160.483,0.1,2023-02-01 19:57:35,0.0,0.0
209.095,0.1,2023-02-01 19:57:36,0.0,0.0
247.652,0.1,2023-02-01 19:57:37,0.0,0.0
232.706,0.1,2023-02-01 19:57:38,0.0,0.0
253.916,0.1,2023-02-01 19:57:39,0.0,0.0
287.314,0.1,2023-02-01 19:57:40,0.0,0.0
277.351,0.1,2023-02-01 19:57:41,0.0,0.0
254.136,0.1,2023-02-01 19:57:42,0.0,0.0
174.135,0.1,2023-02-01 19:57:43,0.0,0.0
110.865,0.1,2023-02-01 19:57:44,0.0,0.0
52.909,0.1,2023-02-01 19:57:45,0.0,0.0
62.875,0.1,2023-02-01 19:57:46,0.0,0.0
102.398,0.1,2023-02-01 19:57:47,0.0,0.0
151.104,0.1,2023-02-01 19:57:48,0.0,0.0
193.178,0.1,2023-02-01 19:57:49,0.0,0.0
226.239,0.1,2023-02-01 19:57:50,0.0,0.0
252.236,0.1,2023-02-01 19:57:51,0.0,0.0
231.147,0.1,2023-02-01 19:57:52,0.0,0.0
213.363,0.1,2023-02-01 19:57:53,0.0,0.0
233.79,0.1,2023-02-01 19:57:54,0.0,0.0
158.04,0.1,2023-02-01 19:57:55,0.0,0.0
151.087,0.1,2023-02-01 19:57:56,0.0,0.0
102.938,0.1,2023-02-01 19:57:57,0.0,0.0
81.609,0.1,2023-02-01 19:57:58,0.0,0.0
86.91,0.1,2023-02-01 19:57:59,0.0,0.0
100.15,0.1,2023-02-01 19:58:00,0.0,0.0
113.197,0.1,2023-02-01 19:58:01,0.0,0.0
156.668,0.1,2023-02-01 19:58:02,0.0,0.0
166.496,0.1,2023-02-01 19:58:03,0.0,0.0
